sugars_100g,fat_100g,saturated_fat_100g,salt_100g,fiber_100g,proteins_100g,energy_kcal_100g,additives_count,sugar_energy_ratio,sat_fat_ratio,salt_sugar_interaction,nutrition_risk_score,main_category,country,has_labels,image_saine,bad_nutrition
4.0,1.5,0.3,0.09,1.9,0.5,45.0,0.0,0.0888888869135803,0.19999986666675557,0.36,3.7499999999999996,plant-based-foods-and-beverages,france,1,1,0
3.0,18.0,10.0,0.12,0.1,5.0,170.0,0.0,0.017647058719723184,0.5555555246913597,0.36,15.799999999999999,dairies,france,0,1,1
0.0,1.2,0.1,0.0,0.8,8.5,357.0,0.0,0.0,0.08333326388894677,0.0,2.87,plant-based-foods-and-beverages,france,1,1,0
7.0,5.2,0.5,1.1,3.5,8.0,281.0,0.0,0.024911031939818393,0.09615382766272544,7.700000000000001,17.81,plant-based-foods-and-beverages,france,1,1,0
16.0,11.1111111111111,2.0,5.55555555555556e-05,8.66666666666667,19.1111111111111,424.444444444444,0.0,0.03769633498972071,0.17999998380000165,0.0008888888888888896,13.578333333333324,plant-based-foods-and-beverages,france,1,1,0
1.3,6.9,1.1,0.02,7.2,13.0,375.239005736137,0.0,0.003464458589493449,0.159420266750686,0.026000000000000002,-0.8476099426386297,plant-based-foods-and-beverages,bulgaria,0,1,0
0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,beverages-and-beverages-preparations,france,0,0,0
25.0,15.0,4.9,0.4,5.4,7.5,436.0,4.0,0.057339449409771905,0.32666664488889036,10.0,32.86,plant-based-foods-and-beverages,france,1,1,1
10.7,3.2,2.0,0.1,1.9,3.7,87.0,2.0,0.12298850433346546,0.624999804687561,1.07,12.669999999999998,dairies,belgium,1,1,0
6.0,2.0,1.0,0.09175,0.0,8.0,80.0,3.0,0.07499999906250002,0.499999750000125,0.5505,8.717500000000001,dairies,united-states,0,1,0
11.0,0.11,0.0,0.0,0.93,1.3,53.0,0.0,0.2075471658953365,0.0,0.0,10.6,beverages-and-beverages-preparations,austria,1,1,0
11.0,0.0,0.0,0.0,0.6,0.1,47.0,0.0,0.23404254821186068,0.0,0.0,10.870000000000001,plant-based-foods-and-beverages,france,1,1,0
18.6666666666667,6.66666666666667,4.0,0.691666666666667,6.33333333333333,8.0,406.666666666667,1.0,0.04590163923138945,0.5999999100000132,12.91111111111114,27.316666666666713,plant-based-foods-and-beverages,france,0,1,1
3.5,8.6,5.7,0.125,1.9,3.1,107.0,0.0,0.03271028006812823,0.6627906206057419,0.4375,9.62,dairies,france,1,1,0
39.0,0.2,0.0,0.0,1.6,0.8,164.0,1.0,0.23780487659875077,0.0,0.0,39.04,plant-based-foods-and-beverages,france,1,1,1
5.7,0.5,0.1,0.01,0.2,0.5,32.0,0.0,0.17812499443359395,0.1999996000008,0.057,6.02,beverages-and-beverages-preparations,belgium,1,1,0
